Source.Country,Target.Country,year,mpc
AFG,DEU,1995,-0.158405215706391
AFG,NER,1995,-0.191980186680629
AFG,PAK,1995,-0.108485297199072
AFG,RUS,1995,-0.192442156752925
AFG,USA,1995,-0.189248090403565
AFG,UZB,1995,-0.19389037496503
ALB,GRC,1995,-0.170887701335409
ALB,ROU,1995,-0.160542428083243
ALB,SRB,1995,-0.173449820657379
DZA,CAN,1995,-0.188287948941418
DZA,FRA,1995,-0.04785796633216
DZA,ITA,1995,-0.19412298113733
DZA,PSE,1995,-0.188131056563394
DZA,TUN,1995,-0.188287948941418
DZA,VNM,1995,-0.192442156752925
DZA,ESH,1995,-0.189248090403565
AGO,BRA,1995,-0.193793701990869
AGO,FRO,1995,-0.193805128508967
AGO,PRT,1995,-0.193793701990869
AGO,ZAF,1995,-0.187416535235035
AGO,ZMB,1995,-0.150670235747554
AGO,ZWE,1995,-0.160542428083243
ATG,MSR,1995,-0.189248090403565
ARG,CHL,1995,-0.193031802016927
ARG,CUB,1995,-0.19412298113733
ARG,FRA,1995,-0.193031802016927
ARG,DEU,1995,-0.191508521240265
ARG,GBR,1995,-0.181381508629262
ARG,USA,1995,-0.193754441766892
ARM,AZE,1995,-0.194026308163169
ARM,TUR,1995,-0.194026308163169
AUS,KHM,1995,-0.173268136134893
AUS,CHN,1995,-0.193457190327652
AUS,FRA,1995,0.13738881790511
AUS,GEO,1995,-0.194026308163169
AUS,IDN,1995,-0.103295740437271
AUS,JPN,1995,-0.193987047939192
AUS,MMR,1995,-0.189248090403565
AUS,NZL,1995,-0.1941807224438
AUS,NGA,1995,-0.19412298113733
AUS,PNG,1995,-0.171146762259705
AUS,SGP,1995,-0.193031802016927
AUS,TLS,1995,-0.191194985449431
AUS,GBR,1995,-0.192170290356648
AUS,USA,1995,-0.180097901294374
AUS,VNM,1995,-0.160406494885105
AUT,HRV,1995,-0.191028258132366
AUT,FRA,1995,-0.193987047939192
AUT,DEU,1995,-0.186222092958534
AUT,NGA,1995,-0.19030505392761
AUT,SVK,1995,-0.189350465061302
AUT,USA,1995,-0.188131056563394
AZE,IRN,1995,-0.17633206502093
AZE,RUS,1995,-0.185263777635432
BHS,HTI,1995,-0.193031802016927
BHR,IRN,1995,-0.193339916164368
BGD,FRA,1995,-0.194026308163169
BGD,IND,1995,-0.153219912945166
BGD,PAK,1995,-0.188287948941418
BGD,RUS,1995,-0.19412298113733
BGD,SLE,1995,-0.193805128508967
BGD,USA,1995,-0.188215135829659
BRB,HUN,1995,-0.19412298113733
BLR,FRA,1995,-0.193805128508967
BLR,JPN,1995,-0.183175164202396
BLR,UKR,1995,-0.194026308163169
BEL,DZA,1995,-0.193031802016927
BEL,BIH,1995,-0.184988935785689
BEL,CHN,1995,-0.135109390105992
BEL,COD,1995,-0.19412298113733
BEL,FRA,1995,-0.192895868818788
BEL,VAT,1995,-0.19412298113733
BEL,RWA,1995,-0.177137377838109
BEL,ESP,1995,-0.191194985449431
BEL,SWE,1995,-0.193031802016927
BEL,USA,1995,-0.130172692850723
BLZ,MEX,1995,-0.189248090403565
BOL,ARG,1995,-0.0921780195505372
BOL,BRA,1995,-0.193805128508967
BIH,CAN,1995,-0.192442156752925
BIH,CIV,1995,-0.172091414069323
BIH,HRV,1995,-0.0404326408497984
BIH,FRA,1995,-0.149437498605645
BIH,IDN,1995,-0.192442156752925
BIH,IRN,1995,-0.193805128508967
BIH,JPN,1995,-0.134480008158578
BIH,NLD,1995,-0.179094006607893
BIH,RUS,1995,-0.170429605924857
BIH,SRB,1995,0.11453059939029
BIH,SWE,1995,-0.193031802016927
BIH,CHE,1995,-0.0346252997661669
BIH,GBR,1995,-0.189248090403565
BIH,USA,1995,-0.155753212145027
BRA,AGO,1995,-0.150634618124297
BRA,AUT,1995,-0.192442156752925
BRA,BOL,1995,-0.193805128508967
BRA,FRA,1995,-0.19412298113733
BRA,ITA,1995,-0.193031802016927
BRA,MOZ,1995,-0.183175164202396
BRA,USA,1995,-0.193031802016927
BRN,FRA,1995,-0.194070814395271
BGR,NLD,1995,-0.193031802016927
BGR,ROU,1995,-0.19412298113733
BGR,SRB,1995,-0.178073124783021
BGR,UKR,1995,-0.191194985449431
BGR,USA,1995,-0.18630390350798
BDI,BEL,1995,-0.192442156752925
BDI,ITA,1995,-0.192442156752925
BDI,RWA,1995,-0.188249362257644
BDI,TZA,1995,-0.191980186680629
BDI,USA,1995,-0.193987047939192
KHM,FRA,1995,-0.193987047939192
KHM,KOR,1995,-0.192442156752925
KHM,THA,1995,-0.175975312496123
KHM,USA,1995,-0.178997916244756
KHM,VNM,1995,-0.178164340270492
CAN,DZA,1995,-0.190741090810246
CAN,FRA,1995,0.340143198415571
CAN,IND,1995,-0.10854450627843
CAN,ISR,1995,-0.191707924123057
CAN,JAM,1995,-0.192442156752925
CAN,JPN,1995,-0.187298866348043
CAN,MEX,1995,-0.193292081022657
CAN,NGA,1995,-0.19412298113733
CAN,PSE,1995,-0.194026308163169
CAN,RUS,1995,-0.1941807224438
CAN,SOM,1995,-0.19305709799736
CAN,ESP,1995,-0.194026308163169
CAN,UKR,1995,-0.194026308163169
CAN,GBR,1995,-0.160946986415795
CAN,USA,1995,-0.189152602498346
CAN,VNM,1995,-0.191508521240265
CYM,USA,1995,-0.193031802016927
TCD,NGA,1995,-0.191988370926423
CHL,FRA,1995,-0.151473194537264
CHL,MEX,1995,-0.183175164202396
CHL,ESP,1995,-0.194026308163169
CHL,USA,1995,-0.190962379277132
CHN,AUS,1995,-0.190480811804516
CHN,CAN,1995,-0.193987047939192
CHN,FRA,1995,-0.178164340270492
CHN,DEU,1995,-0.187339126798705
CHN,HKG,1995,-0.0833298851533126
CHN,HUN,1995,-0.193987047939192
CHN,JPN,1995,0.234959567626501
CHN,MAC,1995,-0.183175164202396
CHN,MYS,1995,-0.193031802016927
CHN,MEX,1995,-0.194026308163169
CHN,PRK,1995,-0.193031802016927
CHN,PAK,1995,-0.193031802016927
CHN,PNG,1995,-0.189248090403565
CHN,PHL,1995,-0.0146915965239558
CHN,PRT,1995,-0.173598191443521
CHN,KOR,1995,-0.193031802016927
CHN,TWN,1995,0.173852578513047
