Source.Country,Target.Country,year,mpc
AFG,FRA,1995,-0.209709010285997
AFG,DEU,1995,-0.208480793855281
AFG,IND,1995,-0.15466127360121
AFG,IRN,1995,-0.209202818470307
AFG,PAK,1995,-0.197150384228103
AFG,RUS,1995,-0.209581202402605
AFG,SAU,1995,-0.209644582734707
AFG,TJK,1995,-0.209623805030402
AFG,TUN,1995,-0.208395588599686
AFG,TKM,1995,-0.209729787990302
AFG,USA,1995,-0.206942399349051
AFG,UZB,1995,-0.209729787990302
ALB,BIH,1995,-0.209740700452048
ALB,BGR,1995,-0.209580155183417
ALB,HRV,1995,-0.203820257513883
ALB,CYP,1995,-0.208702531360251
ALB,DNK,1995,-0.205306577664379
ALB,DEU,1995,-0.206361895630909
ALB,GRC,1995,-0.19511652941016
ALB,VAT,1995,-0.209551164111288
ALB,IRN,1995,-0.209709010285997
ALB,ISR,1995,-0.203810033003517
ALB,ITA,1995,-0.204378548965459
ALB,JPN,1995,-0.209729787990302
ALB,POL,1995,-0.209666407658199
ALB,ROU,1995,-0.208659928732453
ALB,SRB,1995,-0.207094390730706
ALB,SVN,1995,-0.209740700452048
ALB,TKM,1995,-0.208702531360251
ALB,GBR,1995,-0.209740700452048
ALB,USA,1995,-0.204969730570318
DZA,BEL,1995,-0.206361895630909
DZA,BEN,1995,-0.206361895630909
DZA,CAN,1995,-0.208480793855281
DZA,CHN,1995,-0.209666407658199
DZA,FRA,1995,-0.135623188628517
DZA,DEU,1995,-0.209727031380019
DZA,IND,1995,-0.209740700452048
DZA,ISR,1995,-0.204532160226951
DZA,LBY,1995,-0.209709010285997
DZA,MLI,1995,-0.196054853069386
DZA,MRT,1995,-0.209709010285997
DZA,MAR,1995,-0.11025605675446
DZA,NER,1995,-0.198474133614571
DZA,PSE,1995,-0.204623092775491
DZA,RUS,1995,-0.203419448871441
DZA,ESP,1995,-0.209350715308782
DZA,TUN,1995,-0.208702531360251
DZA,ARE,1995,-0.208456212321507
DZA,GBR,1995,-0.210282387123267
DZA,USA,1995,-0.209740700452048
DZA,YEM,1995,-0.205331159198153
AGO,BWA,1995,-0.205331159198153
AGO,COG,1995,-0.209716118918273
AGO,COD,1995,-0.209727031380019
AGO,FRA,1995,-0.209502001043739
AGO,GAB,1995,-0.209354511841092
AGO,GHA,1995,-0.208659928732453
AGO,JPN,1995,-0.207839776154895
AGO,MAR,1995,-0.209395519057177
AGO,MOZ,1995,-0.209740700452048
AGO,NAM,1995,-0.205331159198153
AGO,PRT,1995,-0.206230283918047
AGO,RUS,1995,-0.209727031380019
AGO,STP,1995,-0.209702449846245
AGO,ZAF,1995,-0.208528831143676
AGO,TWN,1995,-0.208702531360251
AGO,USA,1995,-0.205485800329877
AGO,VNM,1995,-0.209653286778696
AGO,ZMB,1995,-0.119516637592137
AGO,ZWE,1995,-0.206469662342358
ARG,BOL,1995,-0.200710256680007
ARG,BRA,1995,-0.196411714008011
ARG,CAN,1995,-0.209740700452048
ARG,CHL,1995,-0.199562911536219
ARG,CHN,1995,-0.202583363570609
ARG,COL,1995,-0.205130710395647
ARG,CUB,1995,-0.206254865451822
ARG,ECU,1995,-0.205170613929523
