Source.Country,Target.Country,year,mpc
AFG,FRA,1995,-0.245935770116455
AFG,DEU,1995,-0.213356223520751
AFG,IND,1995,-0.210682228295721
AFG,IRN,1995,-0.24561703598124
AFG,NER,1995,-0.243535612192692
AFG,PAK,1995,-0.163695471912263
AFG,RUS,1995,-0.244666397352497
AFG,SAU,1995,-0.245895025989249
AFG,TJK,1995,-0.245883404761381
AFG,TUN,1995,-0.245083358693283
AFG,TKM,1995,-0.245947391344322
AFG,USA,1995,-0.239595691198207
AFG,UZB,1995,-0.245593919442625
ALB,BIH,1995,-0.245954672069157
ALB,BGR,1995,-0.245854281862042
ALB,HRV,1995,-0.242244134983249
ALB,CYP,1995,-0.24530611163926
ALB,DNK,1995,-0.243077425772563
ALB,DEU,1995,-0.243896592474519
ALB,GRC,1995,-0.21794381752369
ALB,VAT,1995,-0.245826887888202
ALB,IRN,1995,-0.245935770116455
ALB,ISR,1995,-0.242454883350786
ALB,ITA,1995,-0.242627013749341
ALB,JPN,1995,-0.245947391344322
ALB,POL,1995,-0.245909587438918
ALB,PRT,1995,-0.245961952793992
ALB,ROU,1995,-0.217888427199223
ALB,SRB,1995,-0.225951933266635
ALB,SVN,1995,-0.245954672069157
ALB,TKM,1995,-0.24530611163926
ALB,GBR,1995,-0.245954672069157
ALB,USA,1995,-0.242874107695688
DZA,BEL,1995,-0.243896592474519
DZA,BEN,1995,-0.243896592474519
DZA,CAN,1995,-0.240665032537553
DZA,CHN,1995,-0.245909587438918
DZA,FRA,1995,-0.0681302474897624
DZA,DEU,1995,-0.245945693032035
DZA,IND,1995,-0.245954672069157
DZA,IRQ,1995,-0.245961952793992
DZA,ISR,1995,-0.242781562029349
DZA,ITA,1995,-0.245814782154928
DZA,LBY,1995,-0.245935770116455
DZA,MLI,1995,-0.237369827438682
DZA,MRT,1995,-0.245935770116455
DZA,MCO,1995,-0.245961952793992
DZA,MAR,1995,-0.190259141526805
DZA,NER,1995,-0.238825375112119
DZA,PSE,1995,-0.237148374094048
DZA,RUS,1995,-0.242316594013309
DZA,ESP,1995,-0.245691822982412
DZA,TUN,1995,-0.240835420128456
DZA,ARE,1995,-0.245119464286399
DZA,GBR,1995,-0.246190910245357
DZA,USA,1995,-0.245954672069157
DZA,VNM,1995,-0.244771128062644
DZA,ESH,1995,-0.241415465701336
DZA,YEM,1995,-0.24309368553452
AGO,BWA,1995,-0.24309368553452
AGO,BRA,1995,-0.245549350268724
AGO,COG,1995,-0.2459384123072
AGO,COD,1995,-0.245945693032035
AGO,FRO,1995,-0.245591664727383
AGO,FRA,1995,-0.245794368364287
AGO,GAB,1995,-0.245696809792544
AGO,GHA,1995,-0.245279928961723
AGO,JPN,1995,-0.2447900983476
AGO,MAR,1995,-0.245723746903912
AGO,MOZ,1995,-0.245954672069157
AGO,NAM,1995,-0.24309368553452
AGO,PRT,1995,-0.243400803382551
AGO,RUS,1995,-0.245945693032035
AGO,STP,1995,-0.245929433270077
AGO,ZAF,1995,-0.238460858924458
AGO,TWN,1995,-0.24530611163926
AGO,USA,1995,-0.243311596497163
AGO,VNM,1995,-0.245896913746163
AGO,ZMB,1995,-0.144772271555988
AGO,ZWE,1995,-0.216109773338978
ATG,MSR,1995,-0.241415465701336
ARG,BOL,1995,-0.240090353369257
ARG,BRA,1995,-0.237417806621881
ARG,CAN,1995,-0.245954672069157
ARG,CHL,1995,-0.238413115454708
ARG,CHN,1995,-0.241674043271978
ARG,COL,1995,-0.24295862062873
ARG,CUB,1995,-0.243682495030713
ARG,ECU,1995,-0.242993295327405
ARG,FRA,1995,-0.239945722381147
ARG,DEU,1995,-0.243400332077082
ARG,VAT,1995,-0.245929433270077
ARG,IND,1995,-0.242539128387905
ARG,IDN,1995,-0.241921831088128
ARG,IRN,1995,-0.245954672069157
ARG,ISR,1995,-0.208399696343242
ARG,ITA,1995,-0.123187971733561
ARG,MEX,1995,-0.24295862062873
ARG,PRY,1995,-0.245954672069157
ARG,PER,1995,-0.245800705210665
ARG,KOR,1995,-0.2447900983476
ARG,ESP,1995,-0.24592848939162
ARG,TUR,1995,-0.241729637869982
ARG,UKR,1995,-0.237399486090695
ARG,GBR,1995,-0.227993395123937
ARG,USA,1995,-0.245211483135283
ARG,URY,1995,-0.239841909318987
ARG,VEN,1995,-0.24309368553452
ARM,AZE,1995,-0.23728248649644
ARM,FRA,1995,-0.245935770116455
ARM,GEO,1995,-0.245931131582365
ARM,IRN,1995,-0.240581535895242
ARM,KAZ,1995,-0.245954672069157
ARM,NZL,1995,-0.241395364670245
ARM,PSE,1995,-0.231542112492806
ARM,ROU,1995,-0.245945693032035
ARM,RUS,1995,-0.245954672069157
ARM,SRB,1995,-0.242951949620253
ARM,TUR,1995,-0.245099810376626
ARM,TKM,1995,-0.241898290601336
AUS,BEL,1995,-0.245691822982412
AUS,BGR,1995,-0.245954672069157
AUS,KHM,1995,-0.173826579538362
AUS,CAN,1995,-0.245935770116455
AUS,CHN,1995,-0.17051672981028
AUS,FRA,1995,0.0313379002620014
