Source.Country,Target.Country,year,mpc
AFG,DEU,1995,-13.8599355055632
AFG,NER,1995,-13.9429260449037
AFG,PAK,1995,-10.5079244441416
AFG,RUS,1995,-13.8981422307932
AFG,USA,1995,-13.7753474385842
AFG,UZB,1995,-13.1582358545158
ALB,GRC,1995,-13.9332334798971
ALB,ROU,1995,-13.9247969380432
ALB,SRB,1995,-11.3379194202531
DZA,CAN,1995,-13.9143118295218
DZA,FRA,1995,-9.6256182859765
DZA,ITA,1995,-13.4385349338999
DZA,PSE,1995,-13.6368890486545
DZA,TUN,1995,-13.9143118295218
DZA,VNM,1995,-13.8981422307932
DZA,ESH,1995,-13.7753474385842
AGO,BRA,1995,-13.3900221415139
AGO,FRO,1995,-13.3036042217841
AGO,PRT,1995,-13.3900221415139
AGO,ZAF,1995,-12.6473511879947
AGO,ZMB,1995,-13.6385833980555
AGO,ZWE,1995,-13.9247969380432
ATG,MSR,1995,-13.7753474385842
ARG,CHL,1995,-13.8286838006878
ARG,CUB,1995,-13.4385349338999
ARG,FRA,1995,-13.8286838006878
ARG,DEU,1995,-13.9269736898038
ARG,GBR,1995,-13.9402023505883
ARG,USA,1995,-12.6461504881336
ARM,AZE,1995,-13.670321220898
ARM,TUR,1995,-13.670321220898
AUS,KHM,1995,-13.7484122771088
AUS,CHN,1995,-12.6016550797592
AUS,FRA,1995,-1.80792102253725
AUS,GEO,1995,-13.670321220898
AUS,IDN,1995,-13.1494894790059
AUS,JPN,1995,-12.9264495675177
AUS,MMR,1995,-13.7753474385842
AUS,NZL,1995,-13.8204328349494
AUS,NGA,1995,-13.4385349338999
AUS,PNG,1995,-13.9344310286051
AUS,SGP,1995,-13.8286838006878
AUS,TLS,1995,-13.7937546744683
AUS,GBR,1995,-12.8739714980288
AUS,USA,1995,-13.6288527731895
AUS,VNM,1995,-13.412711571661
AUT,HRV,1995,-11.3438157730913
AUT,FRA,1995,-12.9264495675177
AUT,DEU,1995,-13.5648483781693
AUT,NGA,1995,-13.2944535929295
AUT,SVK,1995,-13.4628743019049
AUT,USA,1995,-13.6368890486545
AZE,IRN,1995,-13.9052779029226
AZE,RUS,1995,-13.4945861852995
BHS,HTI,1995,-13.8286838006878
BHR,IRN,1995,-12.743006063016
BGD,FRA,1995,-13.670321220898
BGD,IND,1995,-13.8890886312457
BGD,PAK,1995,-13.9143118295218
BGD,RUS,1995,-13.4385349338999
BGD,SLE,1995,-13.3036042217841
BGD,USA,1995,-13.5799105142686
BRB,HUN,1995,-13.4385349338999
