Source.Country,Target.Country,year,mpc
AFG,FRA,1995,-65.1465090985859
AFG,DEU,1995,-65.3019548823964
AFG,IND,1995,-65.3022914119934
AFG,IRN,1995,-62.7778791632822
AFG,PAK,1995,-58.7852868310609
AFG,RUS,1995,-64.1943302646942
AFG,SAU,1995,-63.7344815968444
AFG,TJK,1995,-64.5117232093247
AFG,TUN,1995,-64.6671689931353
AFG,TKM,1995,-64.3692674861055
AFG,USA,1995,-60.8164566056465
AFG,UZB,1995,-64.3692674861055
ALB,BIH,1995,-64.9165847646609
ALB,BGR,1995,-62.322454095103
ALB,HRV,1995,-65.0856900982423
ALB,CYP,1995,-65.3067718060322
ALB,DNK,1995,-64.8722778605121
ALB,DEU,1995,-65.4095844198823
ALB,GRC,1995,-59.0035054375715
ALB,VAT,1995,-64.9774275196981
ALB,IRN,1995,-65.1465090985859
ALB,ISR,1995,-65.423518083207
ALB,ITA,1995,-62.3294335414595
ALB,JPN,1995,-64.3692674861055
ALB,POL,1995,-64.8291161539553
ALB,ROU,1995,-64.9893788614017
ALB,SRB,1995,-65.4365237907336
ALB,SVN,1995,-64.9165847646609
ALB,TKM,1995,-65.3067718060322
ALB,GBR,1995,-64.9165847646609
ALB,USA,1995,-55.0963629027942
DZA,BEL,1995,-65.4095844198823
DZA,BEN,1995,-65.4095844198823
DZA,CAN,1995,-65.3019548823964
DZA,CHN,1995,-64.8291161539553
DZA,FRA,1995,-61.7642350965268
DZA,DEU,1995,-64.9451128160803
DZA,IND,1995,-64.9165847646609
DZA,ISR,1995,-65.0911504453853
DZA,LBY,1995,-65.1465090985859
DZA,MLI,1995,-62.973597154812
DZA,MRT,1995,-65.1465090985859
DZA,MAR,1995,-64.3269677008024
DZA,NER,1995,-62.7853849205814
DZA,PSE,1995,-63.7246201001015
DZA,RUS,1995,-65.4027252451597
DZA,ESP,1995,-64.4909529961797
DZA,TUN,1995,-65.3067718060322
DZA,ARE,1995,-64.7831656552603
DZA,GBR,1995,-65.4637550687224
DZA,USA,1995,-64.9165847646609
DZA,YEM,1995,-65.3910670876482
AGO,BWA,1995,-65.3910670876482
AGO,COG,1995,-64.3977955375248
AGO,COD,1995,-64.9451128160803
AGO,FRA,1995,-63.9398490654259
AGO,GAB,1995,-60.8271137026094
AGO,GHA,1995,-64.9893788614017
AGO,JPN,1995,-65.4043692190305
AGO,MAR,1995,-60.7415295483513
AGO,MOZ,1995,-64.9165847646609
AGO,NAM,1995,-65.3910670876482
AGO,PRT,1995,-63.1613747463742
AGO,RUS,1995,-64.9451128160803
AGO,STP,1995,-64.4263235889442
AGO,ZAF,1995,-61.7841599031005
AGO,TWN,1995,-65.3067718060322
AGO,USA,1995,-58.4163475819165
AGO,VNM,1995,-63.388745134672
AGO,ZMB,1995,-59.6834251610348
AGO,ZWE,1995,-60.8877843703048
ARG,BOL,1995,-64.8317576085617
ARG,BRA,1995,-61.1021214447822
ARG,CAN,1995,-64.9165847646609
ARG,CHL,1995,-63.5705167794241
ARG,CHN,1995,-63.1194495741983
ARG,COL,1995,-64.9045925641299
ARG,CUB,1995,-63.6801639735103
ARG,ECU,1995,-62.7969364180902
ARG,FRA,1995,-63.9674563774105
ARG,VAT,1995,-64.4263235889442
ARG,IND,1995,-65.0391606989321
ARG,IDN,1995,-65.3315342634623
ARG,IRN,1995,-64.9165847646609
ARG,ISR,1995,-65.1378639548896
ARG,ITA,1995,-64.1524624954902
ARG,MEX,1995,-64.9045925641299
ARG,PRY,1995,-64.9165847646609
ARG,PER,1995,-64.6600345750675
ARG,KOR,1995,-65.4043692190305
ARG,ESP,1995,-64.5991918200304
ARG,TUR,1995,-64.4420207240187
ARG,UKR,1995,-63.8372124930395
ARG,GBR,1995,-61.7161459493252
ARG,USA,1995,-61.5187711608316
ARG,URY,1995,-64.1825820830173
ARG,VEN,1995,-65.3910670876482
ARM,AZE,1995,-64.1544349832007
ARM,FRA,1995,-65.1465090985859
ARM,GEO,1995,-63.8504782589694
ARM,IRN,1995,-64.0405153820023
ARM,KAZ,1995,-64.9165847646609
ARM,NZL,1995,-65.3373928878213
ARM,PSE,1995,-65.4602268796792
ARM,ROU,1995,-64.9451128160803
ARM,RUS,1995,-64.9165847646609
ARM,SRB,1995,-65.0959673690211
ARM,TUR,1995,-65.3067718060322
ARM,TKM,1995,-64.2654277577707
AUS,BEL,1995,-64.4909529961797
AUS,BGR,1995,-64.9165847646609
AUS,KHM,1995,-63.4718356271007
AUS,CAN,1995,-65.1465090985859
AUS,CHN,1995,-63.4589777777597
AUS,FRA,1995,-63.1084390393973
AUS,IND,1995,-64.9045925641299
AUS,IDN,1995,-60.6406475190419
AUS,ISR,1995,-63.9085733958151
AUS,JPN,1995,-63.9987684096077
AUS,MDG,1995,-64.9774275196981
AUS,MYS,1995,-64.9774275196981
AUS,MDV,1995,-64.9774275196981
AUS,MUS,1995,-64.9774275196981
AUS,MMR,1995,-65.1453189969999
AUS,NZL,1995,-64.2161784050565
AUS,NGA,1995,-65.3149537300014
AUS,PAK,1995,-64.9774275196981
AUS,PNG,1995,-64.4586382925619
AUS,PHL,1995,-65.1465090985859
AUS,RUS,1995,-64.9165847646609
AUS,SYC,1995,-64.9774275196981
AUS,SGP,1995,-65.0882729928431
AUS,ZAF,1995,-64.4909529961797
AUS,KOR,1995,-64.9165847646609
AUS,LKA,1995,-64.4208283525613
AUS,TWN,1995,-65.1465090985859
AUS,THA,1995,-64.7366316786794
AUS,TLS,1995,-65.4622277354148
AUS,USA,1995,-63.4314308338214
AUS,VNM,1995,-63.8088428814575
AUT,BIH,1995,-65.1465090985859
AUT,HRV,1995,-65.3149537300014
AUT,CYP,1995,-64.8956990169323
AUT,CZE,1995,-64.2817988753998
AUT,FRA,1995,-65.1578234928172
AUT,DEU,1995,-64.9165847646609
AUT,GRC,1995,-64.9165847646609
AUT,VAT,1995,-63.8504782589694
AUT,HUN,1995,-63.9039883024816
AUT,ISR,1995,-65.3067718060322
AUT,POL,1995,-64.3097346619196
AUT,QAT,1995,-65.1465090985859
AUT,ROU,1995,-64.1943302646942
AUT,RUS,1995,-64.5991918200304
AUT,SRB,1995,-65.4595794713682
AUT,SVK,1995,-64.0565206800352
AUT,SVN,1995,-65.2482806825695
AUT,SYR,1995,-63.9644059307693
AUT,TLS,1995,-63.8769373200636
AUT,TUR,1995,-64.26919335176
AUT,USA,1995,-65.3552667965482
AZE,ARM,1995,-64.1532893062432
AZE,BGR,1995,-63.0711173435304
AZE,FRA,1995,-64.4263235889442
AZE,GEO,1995,-64.9165847646609
AZE,IRN,1995,-63.2830772779136
AZE,KAZ,1995,-64.3097346619196
AZE,PAK,1995,-64.4420207240187
AZE,ROU,1995,-62.3636580750075
AZE,RUS,1995,-63.4716802034578
AZE,SAU,1995,-64.2752974983904
AZE,TUR,1995,-62.5660379787987
AZE,TKM,1995,-65.4043692190305
AZE,GBR,1995,-64.4586382925619
AZE,USA,1995,-65.4108953497443
AZE,MKD,1995,-65.3910670876482
BHS,HTI,1995,-65.1465090985859
BHS,USA,1995,-65.2554209058155
BHR,IRN,1995,-65.3149537300014
BHR,IRQ,1995,-65.4540070865939
BHR,JOR,1995,-64.8291161539553
BHR,KWT,1995,-63.5045572629195
BHR,LBN,1995,-64.9451128160803
BHR,LTU,1995,-65.4563994449866
BHR,OMN,1995,-64.9165847646609
BHR,PHL,1995,-65.1465090985859
BHR,QAT,1995,-63.8219502075501
BHR,RUS,1995,-65.3149537300014
BHR,SAU,1995,-64.9451128160803
BHR,ARE,1995,-63.8219502075501
BHR,USA,1995,-64.2056446589256
BGD,CHN,1995,-63.2391882018847
BGD,IRN,1995,-60.7839174379665
BGD,MMR,1995,-65.3067718060322
BGD,PAK,1995,-64.9451128160803
BGD,SOM,1995,-65.4430162954877
BGD,USA,1995,-62.3010004516809
BLR,CHN,1995,-64.8291161539553
BLR,FRA,1995,-64.9451128160803
BLR,ISR,1995,-64.8291161539553
BLR,JPN,1995,-64.7900756092659
BLR,LVA,1995,-64.9845619377659
BLR,MDA,1995,-64.9451128160803
BLR,POL,1995,-64.7709148535245
BLR,ROU,1995,-62.8128998046973
BLR,RUS,1995,-64.1408554011489
BLR,TUR,1995,-64.2222660512139
BLR,UKR,1995,-64.9165847646609
BLR,USA,1995,-64.9165847646609
BLR,VNM,1995,-64.8291161539553
BEL,DZA,1995,-65.4095844198823
BEL,AUS,1995,-64.4909529961797
BEL,BIH,1995,-64.3692674861055
BEL,BGR,1995,-63.187164318289
BEL,CAN,1995,-64.4301102411426
BEL,CHL,1995,-63.5045572629195
BEL,CHN,1995,-64.3545929721406
BEL,CZE,1995,-65.1465090985859
BEL,COD,1995,-64.3639839484218
BEL,DNK,1995,-64.4301102411426
BEL,ECU,1995,-64.8914386162534
BEL,EST,1995,-65.1465090985859
BEL,FRA,1995,-64.0888981003755
BEL,DEU,1995,-63.9113210140065
BEL,GRC,1995,-64.9165847646609
BEL,VAT,1995,-64.6719859167711
BEL,HUN,1995,-64.6719859167711
BEL,ITA,1995,-65.3910670876482
BEL,LBN,1995,-65.1465090985859
BEL,LUX,1995,-64.9774275196981
BEL,MAR,1995,-64.1943302646942
BEL,NLD,1995,-64.9774275196981
BEL,PSE,1995,-65.4542143384336
BEL,POL,1995,-64.6277198714497
BEL,ROU,1995,-64.8722778605121
BEL,RUS,1995,-64.0252486858064
BEL,RWA,1995,-65.1465090985859
BEL,SVK,1995,-63.907507816192
BEL,SVN,1995,-65.1465090985859
BEL,ZAF,1995,-65.4610831564662
BEL,ESP,1995,-64.1127172965121
BEL,TUR,1995,-63.0122270968777
BEL,UKR,1995,-64.5991918200304
BEL,USA,1995,-60.5942988970096
BEL,ZWE,1995,-65.1465090985859
BLZ,USA,1995,-65.4365237907336
BEN,DZA,1995,-65.4095844198823
BEN,FRA,1995,-63.0428241386221
BEN,GIN,1995,-64.3692674861055
BEN,LBR,1995,-65.4596118836289
BEN,NER,1995,-65.3910670876482
BEN,TUN,1995,-65.3910670876482
BEN,USA,1995,-64.0044784726614
BOL,ARG,1995,-64.3452830850433
BOL,BEL,1995,-64.9774275196981
BOL,BRA,1995,-64.8368466666019
BOL,CHL,1995,-65.3910670876482
BOL,COL,1995,-64.2235975749691
BOL,ECU,1995,-63.6762802964136
BOL,GUY,1995,-64.8437498090928
BOL,ITA,1995,-64.9774275196981
BOL,LUX,1995,-64.9774275196981
BOL,MEX,1995,-65.3910670876482
BOL,PER,1995,-63.2183338243147
BOL,ESP,1995,-64.9774275196981
