Source.Country,Target.Country,year,mpc
AFG,FRA,1995,-69.880500031868
AFG,DEU,1995,-69.9971194647567
AFG,IND,1995,-70.0164900261764
AFG,IRN,1995,-67.7992395749642
AFG,NER,1995,-70.1570256403605
AFG,PAK,1995,-63.1139759289331
AFG,RUS,1995,-68.6062055898734
AFG,SAU,1995,-68.6434572342745
AFG,TJK,1995,-69.3239611501242
AFG,TUN,1995,-69.4604317428386
AFG,TKM,1995,-69.1999961160183
AFG,USA,1995,-66.0499582998278
AFG,UZB,1995,-69.0213190011752
ALB,BIH,1995,-69.6793827943791
ALB,BGR,1995,-66.9770099588261
ALB,HRV,1995,-69.8275294332504
ALB,CYP,1995,-70.0204509244712
ALB,DNK,1995,-69.6383139219987
ALB,DEU,1995,-70.1111271295654
ALB,GRC,1995,-63.6353705427695
ALB,VAT,1995,-69.7323679345654
ALB,IRN,1995,-69.880500031868
ALB,ISR,1995,-70.1234867881072
ALB,ITA,1995,-67.4116806780389
ALB,JPN,1995,-69.1999961160183
ALB,POL,1995,-69.6022305909961
ALB,PRT,1995,-69.2999605170301
ALB,ROU,1995,-69.3071278900405
ALB,SRB,1995,-68.2520324357475
ALB,SVN,1995,-69.6793827943791
ALB,TKM,1995,-70.0204509244712
ALB,GBR,1995,-69.2499783165242
ALB,USA,1995,-60.6347007919724
DZA,BEL,1995,-70.1111271295654
DZA,BEN,1995,-70.1111271295654
DZA,CAN,1995,-70.0097501203918
DZA,CHN,1995,-69.6022305909961
DZA,FRA,1995,-64.2703656142689
DZA,DEU,1995,-69.7022243522832
DZA,IND,1995,-69.2499783165242
DZA,IRQ,1995,-70.1508034968973
DZA,ISR,1995,-69.8317713588175
DZA,ITA,1995,-70.0407136104469
DZA,LBY,1995,-69.8725340560254
DZA,MLI,1995,-67.9715583961509
DZA,MRT,1995,-69.880500031868
DZA,MCO,1995,-69.729364994885
DZA,MAR,1995,-69.1622105528205
DZA,NER,1995,-67.8026002727589
DZA,PSE,1995,-68.561001906638
DZA,RUS,1995,-69.6755920163005
DZA,ESP,1995,-69.3059663963908
DZA,TUN,1995,-70.0132304202806
DZA,ARE,1995,-69.5604255041257
DZA,GBR,1995,-70.1586226024965
DZA,USA,1995,-69.6793827943791
DZA,VNM,1995,-70.148687831216
DZA,ESH,1995,-70.1218365923064
DZA,YEM,1995,-70.0948590424555
AGO,BWA,1995,-70.0948590424555
AGO,BRA,1995,-70.0375269676397
AGO,COG,1995,-69.2228376739224
AGO,COD,1995,-69.7022243522832
AGO,FRO,1995,-70.0307387020137
AGO,FRA,1995,-68.8192776936519
AGO,GAB,1995,-66.0800069709114
AGO,GHA,1995,-69.7421814835992
AGO,JPN,1995,-70.107025400137
AGO,MAR,1995,-66.0114822971992
AGO,MOZ,1995,-69.6793827943791
AGO,NAM,1995,-70.0948590424555
AGO,PRT,1995,-68.018027265543
AGO,RUS,1995,-69.7022243522832
AGO,STP,1995,-69.2456792318265
AGO,ZAF,1995,-66.6702598067996
AGO,TWN,1995,-70.0204509244712
AGO,USA,1995,-63.5359558338434
AGO,VNM,1995,-68.332588990913
AGO,ZMB,1995,-65.0160957689857
AGO,ZWE,1995,-65.7013955694177
ATG,MSR,1995,-70.1218365923064
ARG,BOL,1995,-69.6045470739964
ARG,BRA,1995,-66.3359863396582
ARG,CAN,1995,-69.6793827943791
ARG,CHL,1995,-68.4724373658487
ARG,CHN,1995,-68.0970287077632
ARG,COL,1995,-69.6684575042809
ARG,CUB,1995,-68.477759028807
ARG,ECU,1995,-67.8218906847573
ARG,FRA,1995,-68.8161730804957
ARG,DEU,1995,-70.1534337295983
ARG,VAT,1995,-68.8162747539715
ARG,IND,1995,-69.7867385968758
ARG,IDN,1995,-69.6137104919976
ARG,IRN,1995,-69.6793827943791
ARG,ISR,1995,-69.872776090644
ARG,ITA,1995,-69.0067287797097
ARG,MEX,1995,-69.239053026426
ARG,PRY,1995,-69.6793827943791
ARG,PER,1995,-69.4540984936935
ARG,KOR,1995,-70.107025400137
ARG,ESP,1995,-69.4011133535072
ARG,TUR,1995,-69.2616830641741
ARG,UKR,1995,-68.73190995724
ARG,GBR,1995,-66.4408815848112
ARG,USA,1995,-65.9658487580579
ARG,URY,1995,-69.0366992699564
ARG,VEN,1995,-70.0948590424555
ARM,AZE,1995,-68.9491384572753
ARM,FRA,1995,-69.880500031868
ARM,GEO,1995,-68.7434509955616
ARM,IRN,1995,-68.9118063787502
ARM,KAZ,1995,-69.6793827943791
ARM,NZL,1995,-70.0479783249593
ARM,PSE,1995,-70.1555736031046
ARM,ROU,1995,-69.7022243522832
