Source.Country,Target.Country,year,mpc
AFG,DEU,1995,-8.25120248701387
AFG,NER,1995,-6.40583382747965
AFG,PAK,1995,-3.09342335354801
AFG,RUS,1995,-6.44214870967949
AFG,USA,1995,-8.37286269267749
AFG,UZB,1995,-8.73970870442614
ALB,GRC,1995,-8.2982823712009
ALB,ROU,1995,-8.42289391644313
ALB,SRB,1995,-4.50931606369109
DZA,CAN,1995,-5.3032475741801
DZA,FRA,1995,5.52458319147902
DZA,ITA,1995,-8.85706511622409
DZA,PSE,1995,-8.4483084913768
DZA,TUN,1995,-5.3032475741801
DZA,VNM,1995,-6.44214870967949
DZA,ESH,1995,-8.37286269267749
AGO,BRA,1995,-8.82406885283544
AGO,FRO,1995,-4.86671613476364
AGO,PRT,1995,-8.82406885283544
AGO,ZAF,1995,-4.59495123823009
AGO,ZMB,1995,-6.06877259334184
AGO,ZWE,1995,-8.42289391644313
ATG,MSR,1995,-8.37286269267749
ARG,CHL,1995,-8.18021066201137
ARG,CUB,1995,-8.85706511622409
ARG,FRA,1995,-8.18021066201137
ARG,DEU,1995,-8.43096071877373
ARG,GBR,1995,-6.38283387386678
ARG,USA,1995,-8.73970870442614
ARM,AZE,1995,-8.82406885283544
ARM,TUR,1995,-8.82406885283544
AUS,KHM,1995,-7.7580857137573
AUS,CHN,1995,-8.73499526895192
AUS,FRA,1995,-1.00589009476477
AUS,GEO,1995,-8.82406885283544
AUS,IDN,1995,-6.67486880531604
AUS,JPN,1995,-8.85706511622409
AUS,MMR,1995,-8.37286269267749
AUS,NZL,1995,-8.93741238431231
AUS,NGA,1995,-8.85706511622409
AUS,PNG,1995,-8.06785239401862
AUS,SGP,1995,-8.18021066201137
AUS,TLS,1995,-8.4483084913768
AUS,GBR,1995,-6.3577885612702
AUS,USA,1995,-8.00482568288559
AUS,VNM,1995,-8.33853376803384
AUT,HRV,1995,-8.39598517251547
AUT,FRA,1995,-8.85706511622409
AUT,DEU,1995,-8.09558552211373
AUT,NGA,1995,-8.50434214696102
AUT,SVK,1995,-8.18021066201137
AUT,USA,1995,-8.4483084913768
AZE,IRN,1995,-8.25120248701387
AZE,RUS,1995,-7.28513680204892
BHS,HTI,1995,-8.18021066201137
BHR,IRN,1995,-4.7493597229657
BGD,FRA,1995,-8.82406885283544
BGD,IND,1995,-7.37762961639911
BGD,PAK,1995,-5.3032475741801
BGD,RUS,1995,-8.85706511622409
BGD,SLE,1995,-4.86671613476364
BGD,USA,1995,-8.09708061463468
BRB,HUN,1995,-8.85706511622409
BLR,FRA,1995,-4.86671613476364
BLR,JPN,1995,-8.13084256340646
BLR,UKR,1995,-8.82406885283544
BEL,DZA,1995,-8.18021066201137
BEL,BIH,1995,-8.44429561105573
BEL,CHN,1995,-7.69796814156243
BEL,COD,1995,-8.85706511622409
BEL,FRA,1995,-8.09585051360208
BEL,VAT,1995,-8.85706511622409
BEL,RWA,1995,-7.9740265242505
BEL,ESP,1995,-8.4483084913768
BEL,SWE,1995,-8.18021066201137
BEL,USA,1995,-8.10040664196115
BLZ,MEX,1995,-8.37286269267749
BOL,ARG,1995,-8.4693186882849
BOL,BRA,1995,-4.86671613476364
BIH,CAN,1995,-6.44214870967949
BIH,CIV,1995,-8.13084256340646
BIH,HRV,1995,4.79949600344272
BIH,FRA,1995,-4.19164704302863
BIH,IDN,1995,-6.44214870967949
BIH,IRN,1995,-4.86671613476364
BIH,JPN,1995,-8.15975976717004
BIH,NLD,1995,-2.07030957606446
BIH,RUS,1995,-8.13411226054076
BIH,SRB,1995,9.54416912121488
BIH,SWE,1995,-8.18021066201137
BIH,CHE,1995,-8.78731525246932
BIH,GBR,1995,-8.37286269267749
BIH,USA,1995,-1.23798413180543
BRA,AGO,1995,-8.57192434147983
BRA,AUT,1995,-6.44214870967949
BRA,BOL,1995,-4.86671613476364
BRA,FRA,1995,-8.85706511622409
BRA,ITA,1995,-8.18021066201137
BRA,MOZ,1995,-8.13084256340646
BRA,USA,1995,-8.18021066201137
BRN,FRA,1995,-8.94102676093713
BGR,NLD,1995,-8.18021066201137
BGR,ROU,1995,-8.85706511622409
BGR,SRB,1995,-8.68970575686901
BGR,UKR,1995,-8.4483084913768
BGR,USA,1995,-7.66974611615173
BDI,BEL,1995,-6.44214870967949
BDI,ITA,1995,-6.44214870967949
BDI,RWA,1995,-4.40563619105502
BDI,TZA,1995,-6.40583382747965
BDI,USA,1995,-8.85706511622409
KHM,FRA,1995,-8.85706511622409
KHM,KOR,1995,-6.44214870967949
KHM,THA,1995,1.42440940464131
KHM,USA,1995,-5.54720586004328
KHM,VNM,1995,-7.56227999145057
CAN,DZA,1995,-8.37502249093386
CAN,FRA,1995,1.97829797907337
CAN,IND,1995,-4.58299966578262
CAN,ISR,1995,-8.48034532092476
CAN,JAM,1995,-6.44214870967949
CAN,JPN,1995,-8.09157264179266
CAN,MEX,1995,-8.83610243464248
CAN,NGA,1995,-8.85706511622409
CAN,PSE,1995,-8.82406885283544
CAN,RUS,1995,-8.93741238431231
CAN,SOM,1995,-4.84478417967615
CAN,ESP,1995,-8.82406885283544
CAN,UKR,1995,-8.82406885283544
CAN,GBR,1995,-5.97230351727779
CAN,USA,1995,-7.4813644482265
CAN,VNM,1995,-8.43096071877373
CYM,USA,1995,-8.18021066201137
TCD,NGA,1995,-2.36743957980975
CHL,FRA,1995,-7.38819409274361
CHL,MEX,1995,-8.13084256340646
CHL,ESP,1995,-8.82406885283544
CHL,USA,1995,-8.33095207957886
CHN,AUS,1995,-7.71913071830276
CHN,CAN,1995,-8.85706511622409
CHN,FRA,1995,-7.56227999145057
CHN,DEU,1995,-8.02013972341441
CHN,HKG,1995,1.44994723088184
CHN,HUN,1995,-8.85706511622409
CHN,JPN,1995,-6.39041144198258
CHN,MAC,1995,-8.13084256340646
CHN,MYS,1995,-8.18021066201137
CHN,MEX,1995,-8.82406885283544
CHN,PRK,1995,-8.18021066201137
CHN,PAK,1995,-8.18021066201137
CHN,PNG,1995,-8.37286269267749
CHN,PHL,1995,-7.79177801944184
CHN,PRT,1995,-7.94664650253499
CHN,KOR,1995,-8.18021066201137
CHN,TWN,1995,0.891652803065692
CHN,TZA,1995,-4.86671613476364
CHN,THA,1995,-8.18021066201137
CHN,TKM,1995,-8.93741238431231
CHN,GBR,1995,-7.36121457123066
CHN,USA,1995,2.13817244923737
COL,BOL,1995,-7.06463845603739
COL,ECU,1995,-7.5370677685789
COL,FRA,1995,-8.93741238431231
COL,ITA,1995,-8.18021066201137
COL,NIC,1995,-8.94139475058201
COL,PER,1995,-5.68093410705749
COL,ESP,1995,-8.18021066201137
COL,CHE,1995,-8.18021066201137
COL,USA,1995,-5.10946375873429
COL,VEN,1995,-5.68559920553357
COM,FRA,1995,-3.58166866287519
COK,FRA,1995,-8.85706511622409
CRI,NIC,1995,-7.18750359570278
CRI,USA,1995,-8.43096071877373
CIV,USA,1995,-7.69796814156243
HRV,BIH,1995,13.4142318878844
HRV,CZE,1995,-4.40695675360233
HRV,DNK,1995,2.51419523371448
HRV,HUN,1995,-4.86671613476364
HRV,IND,1995,-8.62722903379733
HRV,IRQ,1995,-8.93741238431231
HRV,JOR,1995,-4.86671613476364
HRV,KEN,1995,-5.3032475741801
HRV,POL,1995,-1.22853844431036
HRV,ROU,1995,-7.91663588042368
HRV,RUS,1995,-3.04448531208989
HRV,SRB,1995,17.4838494119189
HRV,USA,1995,-8.83208955432141
CUB,CHN,1995,-8.83610243464248
CUB,USA,1995,-3.34516102813949
CUB,VNM,1995,-8.83610243464248
CYP,AUT,1995,-6.44214870967949
CYP,BEL,1995,-8.85706511622409
CYP,HRV,1995,-8.85706511622409
CYP,DEU,1995,-8.18021066201137
CYP,GRC,1995,-7.69796814156243
CYP,TUR,1995,-7.19473609571997
CYP,GBR,1995,-7.79472561801896
CYP,USA,1995,-8.85706511622409
CZE,DEU,1995,-7.66974611615173
CZE,HUN,1995,-6.44214870967949
CZE,NGA,1995,-8.9410084193942
CZE,RUS,1995,-8.85706511622409
CZE,SRB,1995,-8.09585051360208
COD,BDI,1995,-8.43096071877373
COD,ITA,1995,-6.44214870967949
COD,JPN,1995,-8.89714913102045
COD,RWA,1995,-4.28827977925708
DNK,HRV,1995,-8.85706511622409
DNK,FRA,1995,-7.90255279165773
DNK,RUS,1995,-8.58870229537031
ECU,BRA,1995,-6.44214870967949
ECU,COL,1995,-8.29426949087983
ECU,FRA,1995,-8.93741238431231
ECU,PER,1995,-3.29792234272418
EGY,CAN,1995,-8.85706511622409
EGY,ETH,1995,-8.82406885283544
EGY,IRN,1995,-8.82406885283544
EGY,ISR,1995,-7.62481427123121
EGY,KWT,1995,-8.57166489175607
EGY,LBN,1995,-8.85706511622409
EGY,MYS,1995,-6.44214870967949
EGY,NLD,1995,-6.44214870967949
EGY,NOR,1995,-8.58870229537031
EGY,PSE,1995,-6.98696286804107
EGY,RUS,1995,-6.44214870967949
EGY,SRB,1995,-8.82406885283544
EGY,SDN,1995,-0.23979831836021
EGY,GBR,1995,-8.13084256340646
EGY,USA,1995,-6.6118044579328
SLV,GNB,1995,-8.18021066201137
SLV,HND,1995,-8.18021066201137
GNQ,ESP,1995,-8.82406885283544
ERI,ETH,1995,-7.97252566777009
ERI,SDN,1995,-8.47134588357237
ERI,YEM,1995,-6.99687111113529
EST,LVA,1995,-8.85706511622409
EST,LTU,1995,-8.85706511622409
EST,ROU,1995,-8.93741238431231
EST,RUS,1995,-8.43096071877373
ETH,EGY,1995,-6.26246183502167
ETH,GRC,1995,-7.06463845603739
ETH,SDN,1995,3.71607883778739
FLK,ARG,1995,-8.4483084913768
FJI,IND,1995,-8.73970870442614
FJI,IDN,1995,-4.86671613476364
FIN,FRA,1995,-8.85706511622409
FIN,RUS,1995,-8.93741238431231
FRA,DZA,1995,0.804938898114837
FRA,ARG,1995,-8.09585051360208
FRA,AUS,1995,-7.90278331161647
FRA,BLR,1995,-7.94664650253499
FRA,BIH,1995,6.15267778670769
FRA,CAN,1995,-4.7493597229657
FRA,COL,1995,-8.18021066201137
FRA,COM,1995,3.780762650485
FRA,HRV,1995,-8.38698573516308
FRA,DNK,1995,-8.36394834296751
FRA,PYF,1995,-7.71491932021645
FRA,DEU,1995,-6.32077941756048
FRA,HTI,1995,-8.43096071877373
FRA,VAT,1995,-7.06463845603739
FRA,IRN,1995,-8.82406885283544
FRA,ISR,1995,-5.21888742577081
FRA,ITA,1995,-8.85706511622409
FRA,JPN,1995,-1.66199153092405
FRA,JOR,1995,-8.83610243464248
FRA,LBN,1995,-8.13084256340646
FRA,LBY,1995,-8.4483084913768
FRA,MRT,1995,-5.3032475741801
FRA,MAR,1995,-6.44214870967949
FRA,NZL,1995,-8.32693919925779
FRA,NGA,1995,-8.50434214696102
FRA,PAK,1995,-8.82406885283544
FRA,PAN,1995,-8.18021066201137
FRA,POL,1995,-8.18021066201137
FRA,ROU,1995,-8.31360430697579
FRA,RUS,1995,-6.59934882862132
FRA,SEN,1995,-6.40583382747965
FRA,SRB,1995,5.97979233349118
FRA,ESP,1995,-2.80480556946761
FRA,SWE,1995,-8.36394834296751
