Source.Country,Target.Country,year,mpc
AFG,FRA,1995,-9.21802867202895
AFG,DEU,1995,-7.17627831667585
AFG,IND,1995,-8.18996772912191
AFG,IRN,1995,-8.70883320501752
AFG,PAK,1995,-4.69933977786007
AFG,RUS,1995,-9.21802867202895
AFG,SAU,1995,-9.19022213572656
AFG,TJK,1995,-9.21802867202895
AFG,TUN,1995,-6.99721207328275
AFG,TKM,1995,-9.36928837911967
AFG,USA,1995,-6.96940553698036
AFG,UZB,1995,-9.36928837911967
ALB,BIH,1995,-9.36928837911967
ALB,BGR,1995,-9.19022213572656
ALB,HRV,1995,-6.62604901994998
ALB,CYP,1995,-8.92250875301023
ALB,DNK,1995,-6.27499857550102
ALB,DEU,1995,-8.84686561869619
ALB,GRC,1995,-3.17991472439588
ALB,VAT,1995,-8.81720967208314
ALB,IRN,1995,-9.21802867202895
ALB,ISR,1995,-9.06091761202368
ALB,ITA,1995,-5.60055263159557
ALB,JPN,1995,-9.36928837911967
ALB,POL,1995,-9.21802867202895
ALB,ROU,1995,-8.74344250961713
ALB,SRB,1995,-9.16943940670807
ALB,SVN,1995,-9.36928837911967
ALB,TKM,1995,-8.92250875301023
ALB,GBR,1995,-9.36928837911967
ALB,USA,1995,-5.99502799214045
DZA,BEL,1995,-8.84686561869619
DZA,BEN,1995,-8.84686561869619
DZA,CAN,1995,-7.17627831667585
DZA,CHN,1995,-9.21802867202895
DZA,FRA,1995,-5.39530484692436
DZA,DEU,1995,-9.29812253293979
DZA,IND,1995,-9.36928837911967
DZA,ISR,1995,-5.70585171252267
DZA,LBY,1995,-9.21802867202895
DZA,MLI,1995,-2.85030027422401
DZA,MRT,1995,-9.21802867202895
DZA,MAR,1995,-7.46361916101103
DZA,NER,1995,-3.02936651761712
DZA,PSE,1995,-6.14020936264415
DZA,RUS,1995,-7.49667299451194
DZA,ESP,1995,-8.81720967208314
DZA,TUN,1995,-8.92250875301023
DZA,ARE,1995,-7.07730593419359
DZA,GBR,1995,-9.33589535658998
DZA,USA,1995,-9.36928837911967
DZA,YEM,1995,-6.37397095798329
AGO,BWA,1995,-6.37397095798329
AGO,COG,1995,-9.2703159966374
AGO,COD,1995,-9.29812253293979
AGO,FRA,1995,-8.71823728960087
AGO,GAB,1995,-8.71823728960087
AGO,GHA,1995,-8.74344250961713
AGO,JPN,1995,-8.59639283639955
AGO,MAR,1995,-8.69043075329848
AGO,MOZ,1995,-9.36928837911967
AGO,NAM,1995,-6.37397095798329
AGO,PRT,1995,-8.54102045651842
AGO,RUS,1995,-9.29812253293979
AGO,STP,1995,-9.29812253293979
AGO,ZAF,1995,-8.30801420507171
AGO,TWN,1995,-8.92250875301023
AGO,USA,1995,-7.96113521317951
AGO,VNM,1995,-9.29812253293979
AGO,ZMB,1995,-3.05000377921059
AGO,ZWE,1995,-7.8590471714908
ARG,BOL,1995,-5.79408571464437
ARG,BRA,1995,-5.036983638223
ARG,CAN,1995,-9.36928837911967
ARG,CHL,1995,-5.5454623426584
ARG,CHN,1995,-6.08146549245222
ARG,COL,1995,-5.79408571464437
ARG,CUB,1995,-8.63999283900069
ARG,ECU,1995,-6.16709817828779
ARG,FRA,1995,-7.40414662360145
ARG,VAT,1995,-9.29812253293979
ARG,IND,1995,-8.22218823028759
ARG,IDN,1995,-5.57326887896078
ARG,IRN,1995,-9.36928837911967
ARG,ISR,1995,-8.90175398863739
ARG,ITA,1995,-7.68052064868669
ARG,MEX,1995,-5.79408571464437
ARG,PRY,1995,-9.36928837911967
ARG,PER,1995,-8.63814342869004
ARG,KOR,1995,-8.59639283639955
ARG,ESP,1995,-9.19022213572656
ARG,TUR,1995,-5.72031855217836
ARG,UKR,1995,-5.17008925545249
ARG,GBR,1995,-5.43965128714572
ARG,USA,1995,-8.51136450990538
ARG,URY,1995,-4.99523304593252
ARG,VEN,1995,-6.37397095798329
ARM,AZE,1995,-5.77235924398335
