Source.Country,Target.Country,year,mpc
AFG,FRA,1995,-11.3311911189459
AFG,DEU,1995,-9.61803177995974
AFG,IND,1995,-10.7062702447283
AFG,IRN,1995,-11.0190849130815
AFG,NER,1995,-9.52982439661026
AFG,PAK,1995,-3.62758869341685
AFG,RUS,1995,-9.33072238562025
AFG,SAU,1995,-11.3143515662718
AFG,TJK,1995,-11.3311911189459
AFG,TUN,1995,-10.0957313225403
AFG,TKM,1995,-11.4268088599483
AFG,USA,1995,-9.59195469017842
AFG,UZB,1995,-11.1951405859683
ALB,BIH,1995,-11.4268088599483
ALB,BGR,1995,-11.3143515662718
ALB,HRV,1995,-9.89406861376077
ALB,CYP,1995,-11.1770510167073
ALB,DNK,1995,-9.8511646261234
ALB,DEU,1995,-11.1295284101664
ALB,GRC,1995,-7.27836288314576
ALB,VAT,1995,-11.1049765334277
ALB,IRN,1995,-11.3311911189459
ALB,ISR,1995,-11.2315724138367
ALB,ITA,1995,-9.28682144666921
ALB,JPN,1995,-11.4268088599483
ALB,POL,1995,-11.3311911189459
ALB,PRT,1995,-11.4436484126224
ALB,ROU,1995,-10.6166190397139
ALB,SRB,1995,-7.59645977218694
ALB,SVN,1995,-11.4268088599483
ALB,TKM,1995,-11.1770510167073
ALB,GBR,1995,-11.4268088599483
ALB,USA,1995,-9.52637259364033
DZA,BEL,1995,-11.1295284101664
DZA,BEN,1995,-11.1295284101664
DZA,CAN,1995,-7.53145446507972
DZA,CHN,1995,-11.3311911189459
DZA,FRA,1995,2.40449459741827
DZA,DEU,1995,-11.3839412178298
DZA,IND,1995,-11.4268088599483
DZA,IRQ,1995,-11.4436484126224
DZA,ISR,1995,-9.35889592994879
DZA,ITA,1995,-11.3332507831276
DZA,LBY,1995,-11.3311911189459
DZA,MLI,1995,-7.92253013767028
DZA,MRT,1995,-11.3311911189459
DZA,MCO,1995,-11.4436484126224
DZA,MAR,1995,-10.326803207531
DZA,NER,1995,-8.03498743134671
DZA,PSE,1995,-9.10858413922371
DZA,RUS,1995,-10.3514942318177
DZA,ESP,1995,-11.1049765334277
DZA,TUN,1995,-8.50031686557025
DZA,ARE,1995,-10.1484814214242
DZA,GBR,1995,-11.4006122500338
DZA,USA,1995,-11.4268088599483
DZA,VNM,1995,-9.44317967929668
DZA,ESH,1995,-10.9567113329346
DZA,YEM,1995,-9.91087182091594
AGO,BWA,1995,-9.91087182091594
AGO,BRA,1995,-11.3223777681372
AGO,COG,1995,-11.3671016651557
AGO,COD,1995,-11.3839412178298
AGO,FRO,1995,-8.19431756717497
AGO,FRA,1995,-11.0452693386352
AGO,GAB,1995,-11.0452693386352
AGO,GHA,1995,-11.0645937230308
AGO,JPN,1995,-10.9962966839227
AGO,MAR,1995,-11.0284297859611
AGO,MOZ,1995,-11.4268088599483
AGO,NAM,1995,-9.91087182091594
AGO,PRT,1995,-10.8192537245381
AGO,RUS,1995,-11.3839412178298
AGO,STP,1995,-11.3839412178298
AGO,ZAF,1995,-7.32580498633238
AGO,TWN,1995,-11.1770510167073
AGO,USA,1995,-10.6018524898286
AGO,VNM,1995,-11.3839412178298
AGO,ZMB,1995,-5.66221387629603
AGO,ZWE,1995,-9.90199740691961
ATG,MSR,1995,-10.9567113329346
ARG,BOL,1995,-9.57219994172126
ARG,BRA,1995,-9.12878309291476
ARG,CAN,1995,-11.4268088599483
ARG,CHL,1995,-8.68680632134541
