state,chain,wage,emp,t
2,1,,40.5,0
2,2,,13.75,0
2,2,,8.5,0
2,4,5,34,0
2,4,5.5,24,0
2,4,5,20.5,0
2,1,5,70.5,0
2,1,5,23.5,0
2,2,5.25,11,0
2,2,5,9,0
2,3,5,15.5,0
2,1,5,58,0
2,1,5,26.5,0
2,1,5.5,28.5,0
2,1,5,13.5,0
2,2,5.25,16.75,0
2,2,5,9.5,0
2,3,5,15,0
2,3,5,29.5,0
2,3,5,18.5,0
2,3,5,20.25,0
2,3,5,36,0
2,3,5,21,0
2,3,5,20.5,0
2,4,5,19,0
2,3,5,14,0
2,3,5,19,0
2,1,4.25,32.5,0
2,1,4.25,19,0
2,1,4.25,27,0
2,1,4.25,19.5,0
2,1,4.5,24,0
2,1,4.25,18,0
2,1,4.5,,0
2,1,4.25,19,0
2,2,4.5,14,0
2,2,4.25,10.5,0
2,4,4.67000007629395,38,0
2,4,4.75,23.5,0
2,4,4.25,10.5,0
2,4,4.25,25,0
2,2,4.75,11,0
2,1,4.25,36.5,0
2,1,4.5,52.5,0
2,1,4.25,29,0
2,1,4.25,45,0
2,1,4.25,22.75,0
2,2,4.25,7.5,0
2,4,4.25,15.5,0
2,4,4.25,38,0
2,4,4.25,17.5,0
2,4,4.25,25,0
2,1,4.5,,0
2,1,4.75,21,0
2,1,4.86999988555908,15.5,0
2,1,4.75,15.5,0
2,2,4.5,8.5,0
2,3,4.25,18,0
2,4,4.75,20.75,0
2,1,4.25,39,0
2,1,4.25,41.5,0
2,1,4.75,22.5,0
2,1,4.5,32,0
2,1,4.25,24,0
2,1,4.25,26,0
2,1,4.5,48.5,0
2,2,4.5,8.5,0
2,3,4.5,18.5,0
2,3,4.5,13,0
2,4,4.5,22.5,0
2,4,4.75,28,0
2,1,4.25,24.5,0
2,1,4.75,18.5,0
2,3,4.25,23.5,0
2,3,4.75,15,0
2,3,4.5,18,0
2,3,4.75,20.25,0
2,1,4.25,15.5,0
2,1,4.34999990463257,21,0
1,1,,15,0
1,1,,15,0
1,3,,24,0
1,3,,19.25,0
1,1,,21.5,0
1,2,,9.5,0
1,4,,44,0
1,1,,,0
1,1,,21,0
1,4,,28,0
1,4,,10,0
1,1,,20.5,0
1,3,,25.5,0
1,4,,19,0
1,1,,16.5,0
1,1,,17,0
1,1,,27.5,0
1,3,5,5,0
1,2,5.11999988555908,16,0
1,1,5.55999994277954,41.5,0
1,2,5,13,0
1,2,5,10,0
1,2,5.25,15,0
1,3,5,26,0
1,4,5.5,18,0
1,3,5,35,0
1,3,5,21,0
1,4,5,34.5,0
1,4,5,18.25,0
1,4,5,24.5,0
1,1,5.5,20,0
1,1,5,16,0
1,2,5,17.5,0
1,4,5,20.5,0
1,4,5,20,0
1,2,5,12.25,0
1,3,5.25,33,0
1,3,5.5,31.5,0
1,4,5.5,,0
1,4,5.36999988555908,18,0
1,4,5.05000019073486,28,0
1,1,5,16.5,0
1,1,5.11999988555908,14.75,0
1,1,5.25,23.5,0
1,1,5,10,0
1,1,5.11999988555908,46.5,0
1,2,5,15.5,0
1,3,5,24.5,0
1,3,5,24,0
1,3,5,23,0
1,4,5,28,0
1,1,5,32.5,0
1,1,5,23,0
1,3,5.61999988555908,17,0
1,3,5,30,0
1,4,5,21.5,0
1,1,5,32,0
1,1,5,8,0
1,3,5.09999990463257,35.5,0
1,3,5,31.5,0
1,3,5.25,33,0
1,3,5.5,22,0
1,1,5,23,0
1,1,5,23,0
1,2,5,8.5,0
1,2,5.05000019073486,12.5,0
1,2,5.5,9.5,0
1,2,5,13,0
1,1,5.30000019073486,17,0
1,2,5,9,0
1,2,5,19,0
1,2,5,11.5,0
1,2,5,13,0
1,3,5.25,48,0
1,3,5.15000009536743,45.5,0
1,4,5.42000007629395,15,0
1,1,5,18,0
1,3,5,21,0
1,4,5.05999994277954,20.5,0
1,4,5.05000019073486,20.5,0
1,4,5,17.5,0
1,1,5,27.5,0
1,1,5,24,0
1,1,5.25,34,0
1,1,5,18,0
1,1,5,24,0
1,3,5.05000019073486,,0
1,4,5,33.5,0
1,4,5.75,12,0
1,1,5,35,0
1,1,4.5,35,0
1,1,4.75,16,0
1,2,4.25,15.5,0
1,3,4.75,19,0
1,3,4.5,24,0
1,4,4.80000019073486,,0
1,1,4.36999988555908,36,0
1,1,4.25,29,0
1,1,4.25,29,0
1,1,4.36999988555908,21.25,0
1,2,4.5,15.5,0
1,3,4.59999990463257,19.5,0
1,3,4.5,21,0
1,3,4.36999988555908,14,0
1,3,4.25,30.5,0
1,1,4.25,23.5,0
1,2,4.44999980926514,14,0
1,3,4.34999990463257,14.5,0
1,1,4.5,15.5,0
1,1,4.75,26.5,0
1,2,4.5,8,0
1,2,4.5,5.5,0
1,3,4.5,23.25,0
1,3,4.94999980926514,15.5,0
1,4,4.5,32.25,0
1,1,4.25,30,0
1,1,4.25,,0
1,1,4.5,30.5,0
1,1,4.80000019073486,14,0
1,1,4.25,27,0
1,1,4.5,18.5,0
1,1,4.25,38,0
1,1,4.25,16.5,0
1,1,4.5,50,0
1,1,4.75,20.5,0
1,2,4.25,6.5,0
1,2,4.25,13.5,0
1,3,4.25,28,0
1,3,4.5,21.5,0
1,4,4.25,,0
1,1,4.5,24,0
1,1,4.25,20.5,0
1,1,4.5,,0
1,1,4.25,23.5,0
1,1,4.25,23,0
1,1,4.25,17,0
1,1,4.25,20.5,0
1,2,4.25,23.5,0
1,2,4.25,9.5,0
1,2,4.25,10,0
1,2,4.25,14,0
1,3,4.75,85,0
1,3,4.75,15,0
1,3,4.40000009536743,21.5,0
1,4,4.61999988555908,53,0
1,1,4.25,24,0
1,1,4.25,20.5,0
1,1,4.25,14.5,0
1,1,4.25,25,0
1,3,4.25,27,0
1,1,4.75,22.5,0
1,1,4.75,36.5,0
1,1,4.25,17.25,0
1,1,4.25,21.5,0
1,1,4.75,24.5,0
1,1,4.5,19,0
1,1,4.25,25,0
1,1,4.25,16,0
1,2,4.5,19,0
1,3,4.5,22.75,0
1,3,4.5,35,0
1,3,4.75,16,0
1,3,4.61999988555908,21,0
1,3,4.25,26.75,0
1,3,4.25,30.5,0
1,4,4.5,23,0
1,4,4.75,21.5,0
1,4,4.25,36.5,0
1,1,4.80000019073486,23,0
