source;year;target;nuclear_stock;work_pop;exp (US$);imp (US$);tot (US$);gdp;mil_exp;tax_rev;rd_exp_gdp
ALB;1995;GRC;0;1938980;228000000;837000000;1065000000;11602388;125.464118;0.148374865;
ALB;1995;ROU;0;1938980;228000000;837000000;1065000000;11602388;125.464118;0.148374865;
ALB;1995;USA;0;1938980;228000000;837000000;1065000000;11602388;125.464118;0.148374865;
ALB;1996;CHN;0;1939394;211140400;938481792;1149622192;12726894;112.6685531;0.128257352;
ALB;1996;RUS;0;1939394;211140400;938481792;1149622192;12726894;112.6685531;0.128257352;
ALB;1996;RUS;0;1939394;211140400;938481792;1149622192;12726894;112.6685531;0.128257352;
ALB;1997;GRC;0;1938304;137681008;629026304;766707312;11395737;78.66582918;0.137840905;
ALB;1997;RUS;0;1938304;137681008;629026304;766707312;11395737;78.66582918;0.137840905;
ALB;1997;RUS;0;1938304;137681008;629026304;766707312;11395737;78.66582918;0.137840905;
ALB;1997;SRB;0;1938304;137681008;629026304;766707312;11395737;78.66582918;0.137840905;
ALB;1997;USA;0;1938304;137681008;629026304;766707312;11395737;78.66582918;0.137840905;
ALB;1998;BGR;0;1936185;207653802;841256184;1048909986;12467187;74.38011658;0.187502598;
ALB;1998;CHN;0;1936185;207653802;841256184;1048909986;12467187;74.38011658;0.187502598;
ALB;1998;GRC;0;1936185;207653802;841256184;1048909986;12467187;74.38011658;0.187502598;
ALB;1998;ROU;0;1936185;207653802;841256184;1048909986;12467187;74.38011658;0.187502598;
ALB;1998;TUR;0;1936185;207653802;841256184;1048909986;12467187;74.38011658;0.187502598;
ALB;1999;GRC;0;1934366;351097824;1154351169;1505448993;14151376;86.1404134;0.188302817;
ALB;1999;ROU;0;1934366;351097824;1154351169;1505448993;14151376;86.1404134;0.188302817;
ALB;1999;RUS;0;1934366;351097824;1154351169;1505448993;14151376;86.1404134;0.188302817;
ALB;1999;RUS;0;1934366;351097824;1154351169;1505448993;14151376;86.1404134;0.188302817;
ALB;1999;TUR;0;1934366;351097824;1154351169;1505448993;14151376;86.1404134;0.188302817;
ALB;1999;USA;0;1934366;351097824;1154351169;1505448993;14151376;86.1404134;0.188302817;
ALB;2000;BGR;0;1933983;261475781;1089467879;1350943660;15212512;95.27561006;0.20769794;
ALB;2000;CHN;0;1933983;261475781;1089467879;1350943660;15212512;95.27561006;0.20769794;
ALB;2000;ROU;0;1933983;261475781;1089467879;1350943660;15212512;95.27561006;0.20769794;
ALB;2000;RUS;0;1933983;261475781;1089467879;1350943660;15212512;95.27561006;0.20769794;
ALB;2000;RUS;0;1933983;261475781;1089467879;1350943660;15212512;95.27561006;0.20769794;
ALB;2000;USA;0;1933983;261475781;1089467879;1350943660;15212512;95.27561006;0.20769794;
ALB;2001;GRC;0;1928440;304930699;1330631066;1635561765;16566324;108.2654244;0.206178376;
ALB;2001;RUS;0;1928440;304930699;1330631066;1635561765;16566324;108.2654244;0.206178376;
ALB;2001;RUS;0;1928440;304930699;1330631066;1635561765;16566324;108.2654244;0.206178376;
ALB;2001;SRB;0;1928440;304930699;1330631066;1635561765;16566324;108.2654244;0.206178376;
ALB;2001;TUR;0;1928440;304930699;1330631066;1635561765;16566324;108.2654244;0.206178376;
ALB;2001;USA;0;1928440;304930699;1330631066;1635561765;16566324;108.2654244;0.206178376;
ALB;2002;BGR;0;1936622;330241497;1503685206;1833926703;17410336;108.1140021;0.211219111;
ALB;2002;GRC;0;1936622;330241497;1503685206;1833926703;17410336;108.1140021;0.211219111;
ALB;2002;ROU;0;1936622;330241497;1503685206;1833926703;17410336;108.1140021;0.211219111;
ALB;2002;RUS;0;1936622;330241497;1503685206;1833926703;17410336;108.1140021;0.211219111;
ALB;2002;RUS;0;1936622;330241497;1503685206;1833926703;17410336;108.1140021;0.211219111;
ALB;2002;SRB;0;1936622;330241497;1503685206;1833926703;17410336;108.1140021;0.211219111;
ALB;2002;TUR;0;1936622;330241497;1503685206;1833926703;17410336;108.1140021;0.211219111;
ALB;2003;TUR;0;1944524;447220546;1864335652;2311556198;18465375;121.4547139;0.214410288;
