source,target,year,mean
PAK,AFG,1995,-0.8
TKM,AFG,1995,0
USA,AFG,1995,4
PRT,AGO,1995,4
USA,AGO,1995,2.4
ZAF,AGO,1995,1.95
ZMB,AGO,1995,0.5
BGR,ALB,1995,1.18
BIH,ALB,1995,1
DNK,ALB,1995,8
GBR,ALB,1995,1
GRC,ALB,1995,2.49230769230769
HRV,ALB,1995,7
ITA,ALB,1995,7
ROU,ALB,1995,1.9
SVN,ALB,1995,1
USA,ALB,1995,2.48571428571429
DZA,ARE,1995,7
EGY,ARE,1995,4
FRA,ARE,1995,1
IDN,ARE,1995,1
KWT,ARE,1995,1
PHL,ARE,1995,3
BOL,ARG,1995,6
CHL,ARG,1995,3.25
CHN,ARG,1995,7
ECU,ARG,1995,0.5
ESP,ARG,1995,1
GBR,ARG,1995,2.66666666666667
HND,ARG,1995,0
IDN,ARG,1995,8
IRN,ARG,1995,0.333333333333333
JPN,ARG,1995,3.4
SEN,ARG,1995,3.4
UKR,ARG,1995,5.96666666666667
USA,ARG,1995,0
VAT,ARG,1995,2.8
AZE,ARM,1995,1
GEO,ARM,1995,1
IRN,ARM,1995,3.975
RUS,ARM,1995,-1
BGR,AUS,1995,1
CHN,AUS,1995,1
FRA,AUS,1995,7
IDN,AUS,1995,2.75555555555556
ISR,AUS,1995,1
JPN,AUS,1995,4
KHM,AUS,1995,7.4
VNM,AUS,1995,2.96666666666667
HUN,AUT,1995,5.66666666666667
POL,AUT,1995,1
RUS,AUT,1995,1
SVK,AUT,1995,5.66666666666667
SVN,AUT,1995,7
SYR,AUT,1995,1.11666666666667
USA,AUT,1995,3.66666666666667
ARM,AZE,1995,1
BGR,AZE,1995,5.33333333333333
IRN,AZE,1995,3
PAK,AZE,1995,8
ROU,AZE,1995,6.2
RUS,AZE,1995,5.93333333333333
SAU,AZE,1995,5
TUR,AZE,1995,3.88
USA,AZE,1995,2.33333333333333
FRA,BDI,1995,2.8
KEN,BDI,1995,3.6
RWA,BDI,1995,3.4
TZA,BDI,1995,3
USA,BDI,1995,-2
BGR,BEL,1995,1
BIH,BEL,1995,1
CAN,BEL,1995,4
COD,BEL,1995,1
FRA,BEL,1995,1
GBR,BEL,1995,0
GRC,BEL,1995,0.5
ROU,BEL,1995,8
UKR,BEL,1995,1
USA,BEL,1995,2.95
ZAF,BEL,1995,6
FRA,BEN,1995,2.8
THA,BEN,1995,-5
USA,BEN,1995,4
NER,BFA,1995,2.8
CHN,BGD,1995,1
IRN,BGD,1995,1
USA,BGD,1995,4
ALB,BGR,1995,1.36
AUS,BGR,1995,1
AZE,BGR,1995,5.33333333333333
BEL,BGR,1995,1
BIH,BGR,1995,3
CHN,BGR,1995,1
GBR,BGR,1995,1
HUN,BGR,1995,1
IRN,BGR,1995,2.66666666666667
ITA,BGR,1995,2.5
MKD,BGR,1995,4
RUS,BGR,1995,3.54545454545455
SVK,BGR,1995,6.25
TUR,BGR,1995,7
UKR,BGR,1995,1
USA,BGR,1995,1.66666666666667
KWT,BHR,1995,1
USA,BHR,1995,1.9
ALB,BIH,1995,1
BEL,BIH,1995,-1.25
CAN,BIH,1995,0
CZE,BIH,1995,3
DEU,BIH,1995,7
ESP,BIH,1995,7
FRA,BIH,1995,1.33125
GBR,BIH,1995,-1.16666666666667
GRC,BIH,1995,1.25
HRV,BIH,1995,2.20909090909091
HUN,BIH,1995,7
IND,BIH,1995,7
IRN,BIH,1995,2.95
ITA,BIH,1995,4.6
JPN,BIH,1995,-1.1
KWT,BIH,1995,2.8
MAR,BIH,1995,1
NLD,BIH,1995,-3.66666666666667
RUS,BIH,1995,0.6875
SAU,BIH,1995,7.4
SRB,BIH,1995,0.817073170731707
SWE,BIH,1995,1.7
TUN,BIH,1995,4.55
TUR,BIH,1995,5.2
USA,BIH,1995,2.185
LVA,BLR,1995,5.5
ROU,BLR,1995,1
VNM,BLR,1995,1.9
USA,BLZ,1995,2.5
ARG,BOL,1995,6
ECU,BOL,1995,1
PER,BOL,1995,1
ARG,BRA,1995,4
JPN,BRA,1995,1
LBN,BRA,1995,3.4
PER,BRA,1995,7
PSE,BRA,1995,2.35
USA,BRA,1995,0.666666666666667
VEN,BRA,1995,2.8
VNM,BRA,1995,5
USA,BWA,1995,1.82857142857143
ZAF,BWA,1995,1.8
BIH,CAN,1995,0
CHN,CAN,1995,4
FRA,CAN,1995,1
GBR,CAN,1995,0.75
IRN,CAN,1995,0
ITA,CAN,1995,1
LUX,CAN,1995,1
MEX,CAN,1995,1
PAK,CAN,1995,4
RUS,CAN,1995,2.25
SGP,CAN,1995,4
SRB,CAN,1995,1.66666666666667
USA,CAN,1995,4.5
ZAF,CAN,1995,0
EST,CHE,1995,1
SRB,CHE,1995,1
ARG,CHL,1995,3
ECU,CHL,1995,1
MEX,CHL,1995,1
POL,CHL,1995,1
SGP,CHL,1995,4
UKR,CHL,1995,8
USA,CHL,1995,2.2
ARG,CHN,1995,7
AUS,CHN,1995,1.125
BGD,CHN,1995,3
BGR,CHN,1995,1
CAN,CHN,1995,1.5
CUB,CHN,1995,2.18571428571429
DEU,CHN,1995,3.88
DZA,CHN,1995,2.8
EGY,CHN,1995,1.6
ESP,CHN,1995,1
ETH,CHN,1995,4.45
FIN,CHN,1995,4.6
FRA,CHN,1995,1
GBR,CHN,1995,3.03
GHA,CHN,1995,3.3
HKG,CHN,1995,1.46666666666667
HUN,CHN,1995,4
ISL,CHN,1995,1.9
JPN,CHN,1995,4.22222222222222
KHM,CHN,1995,1.6
KOR,CHN,1995,4
LAO,CHN,1995,3.4
LUX,CHN,1995,7
MAR,CHN,1995,3.5
MEX,CHN,1995,1.9
MLI,CHN,1995,1.9
MMR,CHN,1995,1
NAM,CHN,1995,2.8
NZL,CHN,1995,4
PAK,CHN,1995,1
PER,CHN,1995,3.16363636363636
PHL,CHN,1995,1.975
PNG,CHN,1995,1
PRK,CHN,1995,1.325
PSE,CHN,1995,1
ROU,CHN,1995,3.4
RUS,CHN,1995,0.96
SDN,CHN,1995,8
SWE,CHN,1995,1.9
THA,CHN,1995,2.575
TUR,CHN,1995,1.9
TWN,CHN,1995,0.671428571428572
TZA,CHN,1995,2.8
UGA,CHN,1995,8
UKR,CHN,1995,3.71666666666667
USA,CHN,1995,2.58787878787879
VNM,CHN,1995,1
ZAF,CHN,1995,1
BFA,CIV,1995,0
FRA,CIV,1995,1.9
NGA,CMR,1995,1
BEL,COD,1995,0.666666666666667
JPN,COD,1995,1
UGA,COD,1995,7
PYF,COK,1995,7
CRI,COL,1995,0
CUB,COL,1995,2.5
DEU,COL,1995,1
ECU,COL,1995,-2
GBR,COL,1995,4
MEX,COL,1995,1
PER,COL,1995,1
TUN,COL,1995,-4
USA,COL,1995,2.62222222222222
VEN,COL,1995,4
CIV,COM,1995,3.4
FRA,COM,1995,-2.51111111111111
CUB,CRI,1995,1
ARG,CUB,1995,3.5
CHN,CUB,1995,1.62173913043478
COL,CUB,1995,2.5
CRI,CUB,1995,1
JPN,CUB,1995,1
KNA,CUB,1995,8
KOR,CUB,1995,1
MEX,CUB,1995,1
PRY,CUB,1995,1
RUS,CUB,1995,7
URY,CUB,1995,1
USA,CUB,1995,5.08
VAT,CUB,1995,6
VEN,CUB,1995,2.75
VNM,CUB,1995,2.65
ZAF,CUB,1995,4.33333333333333
ITA,CYP,1995,4
SVK,CYP,1995,1.9
USA,CYP,1995,1
ZAF,CYP,1995,0
DEU,CZE,1995,0.25
DNK,CZE,1995,2.65
GBR,CZE,1995,1
HRV,CZE,1995,0.5
IRN,CZE,1995,1
POL,CZE,1995,1
ROU,CZE,1995,2.5
RUS,CZE,1995,2.5
SVK,CZE,1995,0.271428571428571
UKR,CZE,1995,1
USA,CZE,1995,1
BIH,DEU,1995,3.5
CHN,DEU,1995,2.52
COL,DEU,1995,1
CZE,DEU,1995,2.1
EGY,DEU,1995,3.75
ESP,DEU,1995,7
FRA,DEU,1995,3.3
GBR,DEU,1995,4.9
HRV,DEU,1995,1
HUN,DEU,1995,4
ISR,DEU,1995,2.7
ITA,DEU,1995,3
JOR,DEU,1995,2.68
JPN,DEU,1995,1.96666666666667
KEN,DEU,1995,1
KGZ,DEU,1995,2.8
KHM,DEU,1995,5
LBN,DEU,1995,1.9
LUX,DEU,1995,-2
LVA,DEU,1995,2
MDA,DEU,1995,1
NGA,DEU,1995,1
NOR,DEU,1995,0
POL,DEU,1995,1.56
PSE,DEU,1995,3
RUS,DEU,1995,2.83333333333333
SVK,DEU,1995,1.6
SYR,DEU,1995,3.02352941176471
TUR,DEU,1995,2.1
UKR,DEU,1995,4.66666666666667
USA,DEU,1995,2.03333333333333
ZAF,DEU,1995,2.7
ALB,DNK,1995,8
CZE,DNK,1995,2.8
HRV,DNK,1995,-9
LUX,DNK,1995,1
ZAF,DNK,1995,1
ARE,DZA,1995,7
CHN,DZA,1995,1.9
FRA,DZA,1995,3.375
IND,DZA,1995,1
MAR,DZA,1995,1.9
MLI,DZA,1995,4.45
NER,DZA,1995,7.5
PSE,DZA,1995,5.3
ARG,ECU,1995,1
BOL,ECU,1995,1
BRA,ECU,1995,1.5
CHL,ECU,1995,1
COL,ECU,1995,-0.95
PER,ECU,1995,2.4
ARE,EGY,1995,4
CHN,EGY,1995,2.2
DEU,EGY,1995,4.6
ETH,EGY,1995,1.95652173913043
GBR,EGY,1995,4
GMB,EGY,1995,1
IND,EGY,1995,4
IRQ,EGY,1995,0
ISR,EGY,1995,2.27894736842105
JOR,EGY,1995,2.8
JPN,EGY,1995,7
KWT,EGY,1995,1.9
LBY,EGY,1995,1.13333333333333
NOR,EGY,1995,0
PSE,EGY,1995,2.35161290322581
QAT,EGY,1995,1.55
SAU,EGY,1995,1.3
SDN,EGY,1995,-0.4
SYR,EGY,1995,3.16
UGA,EGY,1995,2.83333333333333
USA,EGY,1995,2.40588235294118
UZB,EGY,1995,7.5
YEM,EGY,1995,3.4
ZAF,EGY,1995,2.32
ZMB,EGY,1995,5
RUS,ERI,1995,1
UGA,ERI,1995,1
USA,ERI,1995,1
YEM,ERI,1995,0.5
ARG,ESP,1995,1
BEL,ESP,1995,-4
BIH,ESP,1995,7
